"region","scenario","Scen_Label","year","primary_consumption"
"China","Policy_CI_IPSL","Policy_CI",2080,204.050633062471
"China","Policy_CI_IPSL","Policy_CI",2085,196.947782044417
"China","Policy_CI_IPSL","Policy_CI",2090,189.55952419921
"China","Policy_CI_IPSL","Policy_CI",2095,178.215411429135
"China","Policy_CI_IPSL","Policy_CI",2100,168.94595360204
"China","Policy_CI_MIROC","Policy_CI",1990,36.623082985445
"China","Policy_CI_MIROC","Policy_CI",2005,80.1888195506782
"China","Policy_CI_MIROC","Policy_CI",2010,112.049228742113
"China","Policy_CI_MIROC","Policy_CI",2015,134.566104486051
"China","Policy_CI_MIROC","Policy_CI",2020,151.96012795238
"China","Policy_CI_MIROC","Policy_CI",2025,169.087354709425
"China","Policy_CI_MIROC","Policy_CI",2030,182.908672622194
"China","Policy_CI_MIROC","Policy_CI",2035,189.526838964305
"China","Policy_CI_MIROC","Policy_CI",2040,192.544788168881
"China","Policy_CI_MIROC","Policy_CI",2045,193.895396948878
"China","Policy_CI_MIROC","Policy_CI",2050,199.27722594327
"China","Policy_CI_MIROC","Policy_CI",2055,210.978479209356
"China","Policy_CI_MIROC","Policy_CI",2060,223.729128663122
"China","Policy_CI_MIROC","Policy_CI",2065,221.767144052953
"China","Policy_CI_MIROC","Policy_CI",2070,217.127646517426
"China","Policy_CI_MIROC","Policy_CI",2075,210.734150879251
"China","Policy_CI_MIROC","Policy_CI",2080,203.934494938848
"China","Policy_CI_MIROC","Policy_CI",2085,196.950574180606
"China","Policy_CI_MIROC","Policy_CI",2090,189.540804206999
"China","Policy_CI_MIROC","Policy_CI",2095,178.398495370447
"China","Policy_CI_MIROC","Policy_CI",2100,168.961185169853
"China","Policy_CI_NorESM","Policy_CI",1990,36.623082985445
"China","Policy_CI_NorESM","Policy_CI",2005,80.1888195506782
"China","Policy_CI_NorESM","Policy_CI",2010,112.049228742113
"China","Policy_CI_NorESM","Policy_CI",2015,134.566104486051
"China","Policy_CI_NorESM","Policy_CI",2020,151.970893350432
"China","Policy_CI_NorESM","Policy_CI",2025,169.104731098694
"China","Policy_CI_NorESM","Policy_CI",2030,182.932037459043
"China","Policy_CI_NorESM","Policy_CI",2035,189.576918522147
"China","Policy_CI_NorESM","Policy_CI",2040,192.636094431057
"China","Policy_CI_NorESM","Policy_CI",2045,194.065166291685
"China","Policy_CI_NorESM","Policy_CI",2050,199.454284220404
"China","Policy_CI_NorESM","Policy_CI",2055,211.161772226612
"China","Policy_CI_NorESM","Policy_CI",2060,223.89684687086
"China","Policy_CI_NorESM","Policy_CI",2065,221.880586330953
"China","Policy_CI_NorESM","Policy_CI",2070,217.296022873495
"China","Policy_CI_NorESM","Policy_CI",2075,210.956966653036
"China","Policy_CI_NorESM","Policy_CI",2080,204.115580248377
"China","Policy_CI_NorESM","Policy_CI",2085,196.945220364635
"China","Policy_CI_NorESM","Policy_CI",2090,189.626318143801
"China","Policy_CI_NorESM","Policy_CI",2095,178.365446782703
"China","Policy_CI_NorESM","Policy_CI",2100,169.067503902398
"China","Policy_NoDAC","Policy_NoDAC",1990,36.623082985445
"China","Policy_NoDAC","Policy_NoDAC",2005,80.1888195506782
"China","Policy_NoDAC","Policy_NoDAC",2010,112.049228742113
"China","Policy_NoDAC","Policy_NoDAC",2015,134.566104486051
"China","Policy_NoDAC","Policy_NoDAC",2020,152.39993722828
"China","Policy_NoDAC","Policy_NoDAC",2025,169.432260119187
