"region","scenario","landuse","year","LU_frac"
"China","Reference_CI_HadGEM","urban","2075",59.872426698
"China","Reference_CI_HadGEM","urban","2080",59.872426698
"China","Reference_CI_HadGEM","urban","2085",59.872426698
"China","Reference_CI_HadGEM","urban","2090",59.872426698
"China","Reference_CI_HadGEM","urban","2095",59.872426698
"China","Reference_CI_HadGEM","urban","2100",59.872426698
"Global","Reference_CI_HadGEM","biomass","1990",0
"Global","Reference_CI_HadGEM","biomass","2005",0
"Global","Reference_CI_HadGEM","biomass","2010",0
"Global","Reference_CI_HadGEM","biomass","2015",0
"Global","Reference_CI_HadGEM","biomass","2020",155.401862400024
"Global","Reference_CI_HadGEM","biomass","2025",125.881993502828
"Global","Reference_CI_HadGEM","biomass","2030",153.718130131246
"Global","Reference_CI_HadGEM","biomass","2035",199.74240024117
"Global","Reference_CI_HadGEM","biomass","2040",281.129536052704
"Global","Reference_CI_HadGEM","biomass","2045",426.018711937017
"Global","Reference_CI_HadGEM","biomass","2050",570.732672151928
"Global","Reference_CI_HadGEM","biomass","2055",675.972793515971
"Global","Reference_CI_HadGEM","biomass","2060",757.232383680802
"Global","Reference_CI_HadGEM","biomass","2065",834.615509047421
"Global","Reference_CI_HadGEM","biomass","2070",917.532820306923
"Global","Reference_CI_HadGEM","biomass","2075",1028.25043394234
"Global","Reference_CI_HadGEM","biomass","2080",1139.00651726723
"Global","Reference_CI_HadGEM","biomass","2085",1246.24494057835
"Global","Reference_CI_HadGEM","biomass","2090",1339.66073653017
"Global","Reference_CI_HadGEM","biomass","2095",1452.09488799672
"Global","Reference_CI_HadGEM","biomass","2100",1584.67270479844
"Global","Reference_CI_HadGEM","crops","1990",10903.065894969
"Global","Reference_CI_HadGEM","crops","2005",11244.2825073713
"Global","Reference_CI_HadGEM","crops","2010",11503.1614102299
"Global","Reference_CI_HadGEM","crops","2015",11878.1306489987
"Global","Reference_CI_HadGEM","crops","2020",11996.7861960135
"Global","Reference_CI_HadGEM","crops","2025",11955.6116866682
"Global","Reference_CI_HadGEM","crops","2030",12016.181702251
"Global","Reference_CI_HadGEM","crops","2035",12163.0529744203
"Global","Reference_CI_HadGEM","crops","2040",12315.174083022
