"region","scenario","Scen_Label","year","tot_Generation"
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",1990,2.34115863585
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2005,9.140771078
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2010,15.24865128898
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2015,21.1752451987
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2020,23.749796568
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2025,27.591098904
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2030,31.630523876
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2035,42.849707264
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2040,46.466475034
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2045,49.733846664
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2050,54.838008534
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2055,58.991152903
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2060,59.7769872795
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2065,59.1732560667
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2070,57.547278207
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2075,55.73476160726
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2080,53.89267475455
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2085,51.939974051471
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2090,49.8896969107978
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2095,47.663334719053
"China","Policy_NoDAC_CI_GFDL","Policy_NoDAC_CI",2100,45.510513839164
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",1990,2.34115863585
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2005,9.140771078
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2010,15.24865128898
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2015,21.1752451987
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2020,23.74739554
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2025,27.590754778
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2030,31.63299397
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2035,42.871245376
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2040,46.496615266
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2045,49.771817746
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2050,54.875844344
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2055,59.035064793
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2060,59.8745925535
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2065,59.1742004035
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2070,57.4021364132
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2075,55.59771121711
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2080,53.74598189702
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2085,51.772269412515
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2090,49.7105410707477
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2095,47.480862154869
"China","Policy_NoDAC_CI_HadGEM","Policy_NoDAC_CI",2100,45.323802936122
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",1990,2.34115863585
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2005,9.140771078
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2010,15.24865128898
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2015,21.1752451987
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2020,23.746880236
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2025,27.587492201
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2030,31.626521595
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2035,42.85010017
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2040,46.46615768
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2045,49.75591303
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2050,54.98522544
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2055,59.162327494
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2060,59.9147067941
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2065,59.2331736952
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2070,57.5304243014
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2075,55.73321068784
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2080,53.86042246776
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2085,51.885345032025
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2090,49.8069794031914
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2095,47.594443827742
"China","Policy_NoDAC_CI_IPSL","Policy_NoDAC_CI",2100,45.403103501386
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",1990,2.34115863585
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2005,9.140771078
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2010,15.24865128898
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2015,21.1752451987
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2020,23.741454855
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2025,27.576317449
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2030,31.611791464
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2035,42.823337308
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2040,46.447542688
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2045,49.740502548
"China","Policy_NoDAC_CI_MIROC","Policy_NoDAC_CI",2050,54.974489328
