"region","scenario","sector","year","Water_Withdrawal"
"Global","Policy_NoDAC","Dairy","2075",59.1201503064691
"Global","Policy_NoDAC","FiberCrop","2075",202.644787967559
"Global","Policy_NoDAC","FodderGrass","2075",2.23415056526109
"Global","Policy_NoDAC","FodderHerb","2075",80.6331958979644
"Global","Policy_NoDAC","MiscCrop","2075",709.456985987576
"Global","Policy_NoDAC","OilCrop","2075",188.698769533548
"Global","Policy_NoDAC","OtherGrain","2075",68.1212610957094
"Global","Policy_NoDAC","PalmFruit","2075",0.41549109966
"Global","Policy_NoDAC","Pork","2075",38.68238581725
"Global","Policy_NoDAC","Poultry","2075",0.0053007924907
"Global","Policy_NoDAC","Rice","2075",563.988054543944
"Global","Policy_NoDAC","RootTuber","2075",40.9770809766388
"Global","Policy_NoDAC","SheepGoat","2075",17.5470120696136
"Global","Policy_NoDAC","SugarCrop","2075",324.839706513322
"Global","Policy_NoDAC","Wheat","2075",535.564916694788
"Global","Policy_NoDAC","biomass","2075",142.349279320607
"Global","Policy_NoDAC","elec_biomass (IGCC CCS)","2075",12.7707717901447
"Global","Policy_NoDAC","elec_biomass (conv CCS)","2075",152.965883129501
"Global","Policy_NoDAC","elec_coal (IGCC CCS)","2075",25.8428269461512
"Global","Policy_NoDAC","elec_coal (conv pul CCS)","2075",88.3012991791136
"Global","Policy_NoDAC","elec_gas (CC CCS)","2075",62.6931637724601
"Global","Policy_NoDAC","elec_refined liquids (CC CCS)","2075",9.26607348121572
"Global","Policy_NoDAC","electricity","2075",218.084096829817
"Global","Policy_NoDAC","industry","2075",534.535107
"Global","Policy_NoDAC","municipal water","2075",696.84086
"Global","Policy_NoDAC","nuclearFuelGenII","2075",0
"Global","Policy_NoDAC","nuclearFuelGenIII","2075",3.503813423
"Global","Policy_NoDAC","regional coal","2075",0.70943658107
"Global","Policy_NoDAC","regional natural gas","2075",0.004083186072
"Global","Policy_NoDAC","regional oil","2075",17.474797824
"China","Policy_NoDAC","Beef","2080",9.701496872
"China","Policy_NoDAC","Corn","2080",34.4727870755012
"China","Policy_NoDAC","Dairy","2080",7.6326594
"China","Policy_NoDAC","FiberCrop","2080",7.73984291514
"China","Policy_NoDAC","MiscCrop","2080",34.456679077968
"China","Policy_NoDAC","OilCrop","2080",20.30556187
"China","Policy_NoDAC","OtherGrain","2080",0.73411971746853
"China","Policy_NoDAC","Pork","2080",21.26981
"China","Policy_NoDAC","Poultry","2080",0.001410936149
"China","Policy_NoDAC","Rice","2080",74.21544611375
"China","Policy_NoDAC","RootTuber","2080",1.5600139623
"China","Policy_NoDAC","SheepGoat","2080",4.2094496
"China","Policy_NoDAC","SugarCrop","2080",1.530511949
"China","Policy_NoDAC","Wheat","2080",77.55656994
"China","Policy_NoDAC","biomass","2080",10.952603010056
"China","Policy_NoDAC","elec_biomass (IGCC CCS)","2080",2.080635681117
"China","Policy_NoDAC","elec_biomass (conv CCS)","2080",32.6268351467
"China","Policy_NoDAC","elec_coal (IGCC CCS)","2080",9.821793914
"China","Policy_NoDAC","elec_coal (conv pul CCS)","2080",37.456912666
"China","Policy_NoDAC","elec_gas (CC CCS)","2080",5.12709986
"China","Policy_NoDAC","elec_refined liquids (CC CCS)","2080",0.08237920278
"China","Policy_NoDAC","electricity","2080",66.323932402554
"China","Policy_NoDAC","industry","2080",109.295
"China","Policy_NoDAC","municipal water","2080",73.7901
