"region","scenario","output","subsector","technology","year","gen"
"Taiwan","Reference","electricity","solar","CSP","2010",0
"Taiwan","Reference","electricity","solar","CSP_storage","2010",0
"Taiwan","Reference","electricity","solar","PV","2010",8.28002e-05
"Taiwan","Reference","electricity","solar","PV_storage","2010",0
"Taiwan","Reference","electricity","wind","wind","2010",0.00351361
"Taiwan","Reference","electricity","wind","wind_offshore","2010",0
"Taiwan","Reference","electricity","wind","wind_storage","2010",0
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2015",0
"China","Reference","electricity","biomass","biomass (IGCC)","2015",0
"China","Reference","electricity","biomass","biomass (conv CCS)","2015",0
"China","Reference","electricity","biomass","biomass (conv)","2015",0.229424
"China","Reference","electricity","coal","coal (IGCC CCS)","2015",0
"China","Reference","electricity","coal","coal (IGCC)","2015",0
"China","Reference","electricity","coal","coal (conv pul CCS)","2015",0
"China","Reference","electricity","coal","coal (conv pul)","2015",14.8819
"China","Reference","electricity","gas","gas (CC CCS)","2015",0
"China","Reference","electricity","gas","gas (CC)","2015",0.106125
"China","Reference","electricity","gas","gas (steam/CT)","2015",0.4634
"China","Reference","electricity","gas","gas cogen","2015",0.000364035
"China","Reference","electricity","geothermal","geothermal","2015",0.000449999
"China","Reference","electricity","hydro","hydro","2015",4.01311
"China","Reference","electricity","hydrogen","hydrogen cogen","2015",0
"China","Reference","electricity","nuclear","Gen_III","2015",0
"China","Reference","electricity","nuclear","Gen_II_LWR","2015",0.614838
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2015",0
"China","Reference","electricity","refined liquids","refined liquids (CC)","2015",0
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2015",0.035915
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2015",0
"China","Reference","electricity","solar","CSP","2015",9.71997e-05
"China","Reference","electricity","solar","CSP_storage","2015",0
"China","Reference","electricity","solar","PV","2015",0.16122
"China","Reference","electricity","solar","PV_storage","2015",0
"China","Reference","electricity","wind","wind","2015",0.668766
"China","Reference","electricity","wind","wind_offshore","2015",0
"China","Reference","electricity","wind","wind_storage","2015",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2015",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2015",0
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2015",0
"Taiwan","Reference","electricity","biomass","biomass (conv)","2015",0.0135742
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2015",0
"Taiwan","Reference","electricity","coal","coal (IGCC)","2015",0
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2015",0
"Taiwan","Reference","electricity","coal","coal (conv pul)","2015",0.319141
"Taiwan","Reference","electricity","coal","coal cogen","2015",0.112628
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2015",0
"Taiwan","Reference","electricity","gas","gas (CC)","2015",0.232706
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2015",0.0401723
"Taiwan","Reference","electricity","gas","gas cogen","2015",0.00114617
"Taiwan","Reference","electricity","geothermal","geothermal","2015",0
"Taiwan","Reference","electricity","hydro","hydro","2015",0.016092
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2015",0
"Taiwan","Reference","electricity","nuclear","Gen_III","2015",0
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2015",0.131283
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2015",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2015",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2015",0.0416659
