"region","scenario","output","subsector","technology","year","gen"
"China","Reference_CI_MIROC","electricity","wind","wind_storage","2080",0.3427262
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2080",0.00394653
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2080",0.00421841
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2080",0.00110261
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2080",0.00216621
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2080",0.0137147
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2080",0.0631353
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2080",0.00761495
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2080",0.0871766
"Taiwan","Reference_CI_MIROC","electricity","coal","coal cogen","2080",0.00223838
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2080",0.0406807
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC)","2080",0.384315
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2080",0.0121736
"Taiwan","Reference_CI_MIROC","electricity","gas","gas cogen","2080",0.000550974
"Taiwan","Reference_CI_MIROC","electricity","geothermal","geothermal","2080",0.00309295
"Taiwan","Reference_CI_MIROC","electricity","hydro","hydro","2080",0.025981
"Taiwan","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2080",0.000424944
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_III","2080",0.167767
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2080",0
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2080",0.00535703
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2080",0.0114805
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2080",0.000600851
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids cogen","2080",0.00204484
"Taiwan","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2080",0.0632396
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP","2080",0.215166
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP_storage","2080",0.335038
"Taiwan","Reference_CI_MIROC","electricity","solar","PV","2080",0.1284985
"Taiwan","Reference_CI_MIROC","electricity","solar","PV_storage","2080",0.002298203
"Taiwan","Reference_CI_MIROC","electricity","wind","wind","2080",0.1701441
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_offshore","2080",0.249991
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_storage","2080",0.007764872
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2085",0.443451
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2085",0.0210007
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2085",0.437019
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2085",0.0130558
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2085",1.94836
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2085",0.603665
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2085",1.57499
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2085",0.870025
"China","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2085",0.714888
"China","Reference_CI_MIROC","electricity","gas","gas (CC)","2085",0.421625
"China","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2085",0.00736939
"China","Reference_CI_MIROC","electricity","gas","gas cogen","2085",0.000278338
"China","Reference_CI_MIROC","electricity","geothermal","geothermal","2085",0.112904
"China","Reference_CI_MIROC","electricity","hydro","hydro","2085",4.72862
"China","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2085",0.0421449
"China","Reference_CI_MIROC","electricity","nuclear","Gen_III","2085",11.1633
"China","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2085",0
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2085",0.0145544
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2085",0.00338752
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2085",0.000224856
"China","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2085",4.97341
"China","Reference_CI_MIROC","electricity","solar","CSP","2085",0.109628
"China","Reference_CI_MIROC","electricity","solar","CSP_storage","2085",1.84107
"China","Reference_CI_MIROC","electricity","solar","PV","2085",5.056186
"China","Reference_CI_MIROC","electricity","solar","PV_storage","2085",0.1823267
"China","Reference_CI_MIROC","electricity","wind","wind","2085",9.48066
"China","Reference_CI_MIROC","electricity","wind","wind_offshore","2085",1.14642
"China","Reference_CI_MIROC","electricity","wind","wind_storage","2085",0.3729089
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2085",0.00516854
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2085",0.00332394
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2085",0.00135481
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2085",0.00150754
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2085",0.0173237
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2085",0.0436445
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2085",0.00933254
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2085",0.0506202
"Taiwan","Reference_CI_MIROC","electricity","coal","coal cogen","2085",0.00173751
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2085",0.05024
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC)","2085",0.345204
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2085",0.00863309
"Taiwan","Reference_CI_MIROC","electricity","gas","gas cogen","2085",0.00047391
"Taiwan","Reference_CI_MIROC","electricity","geothermal","geothermal","2085",0.00309321
"Taiwan","Reference_CI_MIROC","electricity","hydro","hydro","2085",0.0267417
"Taiwan","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2085",0.000458922
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_III","2085",0.18341
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2085",0
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2085",0.0054643
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2085",0.0091487
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2085",0.000448077
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids cogen","2085",0.00189056
"Taiwan","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2085",0.0565854
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP","2085",0.258891
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP_storage","2085",0.386401
"Taiwan","Reference_CI_MIROC","electricity","solar","PV","2085",0.11202386
"Taiwan","Reference_CI_MIROC","electricity","solar","PV_storage","2085",0.002773437
"Taiwan","Reference_CI_MIROC","electricity","wind","wind","2085",0.1703603
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_offshore","2085",0.2717874
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_storage","2085",0.009007661
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2090",0.520813
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2090",0.0139754
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2090",0.531056
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2090",0.00782221
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2090",2.14217
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2090",0.282767
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2090",1.70967
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2090",0.340369
"China","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2090",0.785769
"China","Reference_CI_MIROC","electricity","gas","gas (CC)","2090",0.335403
"China","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2090",0.00406853
"China","Reference_CI_MIROC","electricity","gas","gas cogen","2090",0.000224227
"China","Reference_CI_MIROC","electricity","geothermal","geothermal","2090",0.112915
"China","Reference_CI_MIROC","electricity","hydro","hydro","2090",4.87156
"China","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2090",0.0431415
"China","Reference_CI_MIROC","electricity","nuclear","Gen_III","2090",11.2113
"China","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2090",0
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2090",0.0137403
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2090",0.00223719
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2090",0.000129095
"China","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2090",4.88581
"China","Reference_CI_MIROC","electricity","solar","CSP","2090",0.114323
"China","Reference_CI_MIROC","electricity","solar","CSP_storage","2090",1.81414
"China","Reference_CI_MIROC","electricity","solar","PV","2090",4.879931
"China","Reference_CI_MIROC","electricity","solar","PV_storage","2090",0.18899
"China","Reference_CI_MIROC","electricity","wind","wind","2090",9.05998
"China","Reference_CI_MIROC","electricity","wind","wind_offshore","2090",1.123959
"China","Reference_CI_MIROC","electricity","wind","wind_storage","2090",0.3872222
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2090",0.00736097
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2090",0.00259343
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2090",0.00198557
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2090",0.00108557
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2090",0.0221006
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2090",0.0268295
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2090",0.011691
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2090",0.0266681
"Taiwan","Reference_CI_MIROC","electricity","coal","coal cogen","2090",0.00126956
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2090",0.0635196
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC)","2090",0.299605
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2090",0.0057144
"Taiwan","Reference_CI_MIROC","electricity","gas","gas cogen","2090",0.000393852
"Taiwan","Reference_CI_MIROC","electricity","geothermal","geothermal","2090",0.00309282
"Taiwan","Reference_CI_MIROC","electricity","hydro","hydro","2090",0.0275024
"Taiwan","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2090",0.000494258
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_III","2090",0.199883
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2090",0
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2090",0.00632315
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2090",0.00761823
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2090",0.000335773
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids cogen","2090",0.00169711
"Taiwan","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2090",0.0499107
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP","2090",0.301732
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP_storage","2090",0.438572
"Taiwan","Reference_CI_MIROC","electricity","solar","PV","2090",0.09611846
"Taiwan","Reference_CI_MIROC","electricity","solar","PV_storage","2090",0.003278959
"Taiwan","Reference_CI_MIROC","electricity","wind","wind","2090",0.1698694
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_offshore","2090",0.2737953
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_storage","2090",0.01024488
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2095",0.602799
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2095",0.00855123
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2095",0.64467
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2095",0.00421241
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2095",2.29733
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2095",0.108083
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2095",1.80999
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2095",0.11145
"China","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2095",0.86446
"China","Reference_CI_MIROC","electricity","gas","gas (CC)","2095",0.246556
"China","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2095",0.00210525
"China","Reference_CI_MIROC","electricity","gas","gas cogen","2095",0.000166891
"China","Reference_CI_MIROC","electricity","geothermal","geothermal","2095",0.112919
"China","Reference_CI_MIROC","electricity","hydro","hydro","2095",5.00981
"China","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2095",0.0437341
"China","Reference_CI_MIROC","electricity","nuclear","Gen_III","2095",11.0358
"China","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2095",0
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2095",0.0127382
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2095",0.0013998
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2095",7.22194e-05
"China","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2095",4.79652
"China","Reference_CI_MIROC","electricity","solar","CSP","2095",0.114911
"China","Reference_CI_MIROC","electricity","solar","CSP_storage","2095",1.74202
"China","Reference_CI_MIROC","electricity","solar","PV","2095",4.682971
"China","Reference_CI_MIROC","electricity","solar","PV_storage","2095",0.1892277
"China","Reference_CI_MIROC","electricity","wind","wind","2095",8.63703
"China","Reference_CI_MIROC","electricity","wind","wind_offshore","2095",1.101996
"China","Reference_CI_MIROC","electricity","wind","wind_storage","2095",0.3885242
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2095",0.011213
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2095",0.00191541
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2095",0.00321752
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2095",0.000742718
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2095",0.0284781
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2095",0.0142925
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2095",0.0149104
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2095",0.0126026
"Taiwan","Reference_CI_MIROC","electricity","coal","coal cogen","2095",0.000894851
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2095",0.0827832
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC)","2095",0.246256
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2095",0.00342043
"Taiwan","Reference_CI_MIROC","electricity","gas","gas cogen","2095",0.000307163
"Taiwan","Reference_CI_MIROC","electricity","geothermal","geothermal","2095",0.00309245
"Taiwan","Reference_CI_MIROC","electricity","hydro","hydro","2095",0.0282631
"Taiwan","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2095",0.000535119
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_III","2095",0.217155
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2095",0
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2095",0.00793301
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2095",0.00631885
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2095",0.000253286
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids cogen","2095",0.00149593
"Taiwan","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2095",0.047499
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP","2095",0.332058
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP_storage","2095",0.472107
"Taiwan","Reference_CI_MIROC","electricity","solar","PV","2095",0.07595401
"Taiwan","Reference_CI_MIROC","electricity","solar","PV_storage","2095",0.003690366
"Taiwan","Reference_CI_MIROC","electricity","wind","wind","2095",0.1648061
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_offshore","2095",0.2890637
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_storage","2095",0.0112916
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2100",0.71547
"China","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2100",0.00515594
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2100",0.817595
"China","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2100",0.00224479
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2100",2.4664
"China","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2100",0.0416712
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2100",1.91939
"China","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2100",0.0383861
"China","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2100",0.984329
"China","Reference_CI_MIROC","electricity","gas","gas (CC)","2100",0.168778
"China","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2100",0.00112214
"China","Reference_CI_MIROC","electricity","gas","gas cogen","2100",0.000126773
"China","Reference_CI_MIROC","electricity","geothermal","geothermal","2100",0.112893
"China","Reference_CI_MIROC","electricity","hydro","hydro","2100",4.01308
"China","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2100",0.0424984
"China","Reference_CI_MIROC","electricity","nuclear","Gen_III","2100",10.8325
"China","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2100",0
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2100",0.0135364
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2100",0.000980491
"China","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2100",4.40093e-05
"China","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2100",4.67447
"China","Reference_CI_MIROC","electricity","solar","CSP","2100",0.117169
"China","Reference_CI_MIROC","electricity","solar","CSP_storage","2100",1.7254
"China","Reference_CI_MIROC","electricity","solar","PV","2100",4.61352
"China","Reference_CI_MIROC","electricity","solar","PV_storage","2100",0.1944656
"China","Reference_CI_MIROC","electricity","wind","wind","2100",8.58065
"China","Reference_CI_MIROC","electricity","wind","wind_offshore","2100",1.115409
"China","Reference_CI_MIROC","electricity","wind","wind_storage","2100",0.3998634
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC CCS)","2100",0.0157687
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (IGCC)","2100",0.00120032
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv CCS)","2100",0.00463533
"Taiwan","Reference_CI_MIROC","electricity","biomass","biomass (conv)","2100",0.000409077
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC CCS)","2100",0.0346998
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (IGCC)","2100",0.00703189
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul CCS)","2100",0.0180257
"Taiwan","Reference_CI_MIROC","electricity","coal","coal (conv pul)","2100",0.00571185
"Taiwan","Reference_CI_MIROC","electricity","coal","coal cogen","2100",0.000633048
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC CCS)","2100",0.103539
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (CC)","2100",0.189477
"Taiwan","Reference_CI_MIROC","electricity","gas","gas (steam/CT)","2100",0.00190516
"Taiwan","Reference_CI_MIROC","electricity","gas","gas cogen","2100",0.000238007
"Taiwan","Reference_CI_MIROC","electricity","geothermal","geothermal","2100",0.00309257
"Taiwan","Reference_CI_MIROC","electricity","hydro","hydro","2100",0.0290238
"Taiwan","Reference_CI_MIROC","electricity","hydrogen","hydrogen cogen","2100",0.000532088
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_III","2100",0.230742
"Taiwan","Reference_CI_MIROC","electricity","nuclear","Gen_II_LWR","2100",0
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC CCS)","2100",0.00861291
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (CC)","2100",0.00424518
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids (steam/CT)","2100",0.000173123
"Taiwan","Reference_CI_MIROC","electricity","refined liquids","refined liquids cogen","2100",0.0013019
"Taiwan","Reference_CI_MIROC","elect_td_bld","rooftop_pv","rooftop_pv","2100",0.0457455
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP","2100",0.35512
"Taiwan","Reference_CI_MIROC","electricity","solar","CSP_storage","2100",0.501092
"Taiwan","Reference_CI_MIROC","electricity","solar","PV","2100",0.06366683
"Taiwan","Reference_CI_MIROC","electricity","solar","PV_storage","2100",0.004043444
"Taiwan","Reference_CI_MIROC","electricity","wind","wind","2100",0.1652601
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_offshore","2100",0.2991146
"Taiwan","Reference_CI_MIROC","electricity","wind","wind_storage","2100",0.01224839
"China","Reference_CI_NorESM","electricity","biomass","biomass (IGCC CCS)","1990",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (IGCC)","1990",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (conv CCS)","1990",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (conv)","1990",1.44587e-06
"China","Reference_CI_NorESM","electricity","coal","coal (IGCC CCS)","1990",0
"China","Reference_CI_NorESM","electricity","coal","coal (IGCC)","1990",0
"China","Reference_CI_NorESM","electricity","coal","coal (conv pul CCS)","1990",0
"China","Reference_CI_NorESM","electricity","coal","coal (conv pul)","1990",1.69114
"China","Reference_CI_NorESM","electricity","gas","gas (CC CCS)","1990",0
"China","Reference_CI_NorESM","electricity","gas","gas (CC)","1990",0.00690798
"China","Reference_CI_NorESM","electricity","gas","gas (steam/CT)","1990",0.00306761
"China","Reference_CI_NorESM","electricity","gas","gas cogen","1990",0
"China","Reference_CI_NorESM","electricity","geothermal","geothermal","1990",0.0002052
"China","Reference_CI_NorESM","electricity","hydro","hydro","1990",0.456446
"China","Reference_CI_NorESM","electricity","hydrogen","hydrogen cogen","1990",0
"China","Reference_CI_NorESM","electricity","nuclear","Gen_III","1990",0
"China","Reference_CI_NorESM","electricity","nuclear","Gen_II_LWR","1990",0
"China","Reference_CI_NorESM","electricity","refined liquids","refined liquids (CC CCS)","1990",0
"China","Reference_CI_NorESM","electricity","refined liquids","refined liquids (CC)","1990",0
"China","Reference_CI_NorESM","electricity","refined liquids","refined liquids (steam/CT)","1990",0.183376
"China","Reference_CI_NorESM","elect_td_bld","rooftop_pv","rooftop_pv","1990",0
"China","Reference_CI_NorESM","electricity","solar","CSP","1990",0
"China","Reference_CI_NorESM","electricity","solar","CSP_storage","1990",0
"China","Reference_CI_NorESM","electricity","solar","PV","1990",7.19999e-06
"China","Reference_CI_NorESM","electricity","solar","PV_storage","1990",0
"China","Reference_CI_NorESM","electricity","wind","wind","1990",7.19999e-06
"China","Reference_CI_NorESM","electricity","wind","wind_offshore","1990",0
"China","Reference_CI_NorESM","electricity","wind","wind_storage","1990",0
"Taiwan","Reference_CI_NorESM","electricity","biomass","biomass (IGCC CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","biomass","biomass (IGCC)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","biomass","biomass (conv CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","biomass","biomass (conv)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","coal","coal (IGCC CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","coal","coal (IGCC)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","coal","coal (conv pul CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","coal","coal (conv pul)","1990",0.07806
"Taiwan","Reference_CI_NorESM","electricity","coal","coal cogen","1990",0.0100818
"Taiwan","Reference_CI_NorESM","electricity","gas","gas (CC CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","gas","gas (CC)","1990",0.0020986
"Taiwan","Reference_CI_NorESM","electricity","gas","gas (steam/CT)","1990",0.00162746
"Taiwan","Reference_CI_NorESM","electricity","gas","gas cogen","1990",0.000751783
"Taiwan","Reference_CI_NorESM","electricity","geothermal","geothermal","1990",1.08002e-05
"Taiwan","Reference_CI_NorESM","electricity","hydro","hydro","1990",0.0229716
"Taiwan","Reference_CI_NorESM","electricity","hydrogen","hydrogen cogen","1990",0
"Taiwan","Reference_CI_NorESM","electricity","nuclear","Gen_III","1990",0
"Taiwan","Reference_CI_NorESM","electricity","nuclear","Gen_II_LWR","1990",0.118319
"Taiwan","Reference_CI_NorESM","electricity","refined liquids","refined liquids (CC CCS)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","refined liquids","refined liquids (CC)","1990",0
"Taiwan","Reference_CI_NorESM","electricity","refined liquids","refined liquids (steam/CT)","1990",0.0780744
"Taiwan","Reference_CI_NorESM","electricity","refined liquids","refined liquids cogen","1990",0.00623675
"Taiwan","Reference_CI_NorESM","elect_td_bld","rooftop_pv","rooftop_pv","1990",0
"Taiwan","Reference_CI_NorESM","electricity","solar","CSP","1990",0
"Taiwan","Reference_CI_NorESM","electricity","solar","CSP_storage","1990",0
"Taiwan","Reference_CI_NorESM","electricity","solar","PV","1990",0
"Taiwan","Reference_CI_NorESM","electricity","solar","PV_storage","1990",0
"Taiwan","Reference_CI_NorESM","electricity","wind","wind","1990",0
"Taiwan","Reference_CI_NorESM","electricity","wind","wind_offshore","1990",0
"Taiwan","Reference_CI_NorESM","electricity","wind","wind_storage","1990",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (IGCC CCS)","2005",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (IGCC)","2005",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (conv CCS)","2005",0
"China","Reference_CI_NorESM","electricity","biomass","biomass (conv)","2005",0.01872
"China","Reference_CI_NorESM","electricity","coal","coal (IGCC CCS)","2005",0
"China","Reference_CI_NorESM","electricity","coal","coal (IGCC)","2005",0
"China","Reference_CI_NorESM","electricity","coal","coal (conv pul CCS)","2005",0
"China","Reference_CI_NorESM","electricity","coal","coal (conv pul)","2005",7.22629
"China","Reference_CI_NorESM","electricity","gas","gas (CC CCS)","2005",0
"China","Reference_CI_NorESM","electricity","gas","gas (CC)","2005",0.0341543
"China","Reference_CI_NorESM","electricity","gas","gas (steam/CT)","2005",0.05015
"China","Reference_CI_NorESM","electricity","gas","gas cogen","2005",0
"China","Reference_CI_NorESM","electricity","geothermal","geothermal","2005",0.000413999
"China","Reference_CI_NorESM","electricity","hydro","hydro","2005",1.42964
"China","Reference_CI_NorESM","electricity","hydrogen","hydrogen cogen","2005",0
