region,scenario,sector,subsector,technology,year,cost
China,Reference,electricity,nuclear,Gen_II_LWR,2015,9.79073
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2015,4.77598
China,Reference,electricity,refined liquids,refined liquids (CC),2015,1.71515
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2015,19.2527
China,Reference,electricity,solar,CSP,2015,24.8437
China,Reference,electricity,solar,CSP_storage,2015,19.7679
China,Reference,electricity,solar,PV,2015,12.0438
China,Reference,electricity,solar,PV_storage,2015,37.1922
China,Reference,electricity,wind,wind,2015,7.18237
China,Reference,electricity,wind,wind_offshore,2015,15.033
China,Reference,electricity,wind,wind_storage,2015,22.293
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2015,21.8917
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2015,15.0767
Taiwan,Reference,electricity,biomass,biomass (IGCC),2015,10.6652
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2015,11.9115
Taiwan,Reference,electricity,biomass,biomass (conv),2015,16.5816
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2015,11.3378
Taiwan,Reference,electricity,coal,coal (IGCC),2015,6.78304
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2015,9.62776
Taiwan,Reference,electricity,coal,coal (conv pul),2015,7.47281
Taiwan,Reference,electricity,gas,gas (CC CCS),2015,4.01141
Taiwan,Reference,electricity,gas,gas (CC),2015,5.65529
Taiwan,Reference,electricity,gas,gas (steam/CT),2015,7.8282
Taiwan,Reference,electricity,geothermal,geothermal,2015,7.54503
Taiwan,Reference,electricity,nuclear,Gen_III,2015,9.00177
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2015,9.76574
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2015,4.77598
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2015,1.71515
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2015,15.6181
Taiwan,Reference,electricity,solar,CSP,2015,15.235
Taiwan,Reference,electricity,solar,CSP_storage,2015,15.2705
Taiwan,Reference,electricity,solar,PV,2015,14.4472
Taiwan,Reference,electricity,solar,PV_storage,2015,44.6183
Taiwan,Reference,electricity,wind,wind,2015,7.42029
Taiwan,Reference,electricity,wind,wind_offshore,2015,15.0074
Taiwan,Reference,electricity,wind,wind_storage,2015,24.2094
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2020,14.4973
China,Reference,electricity,biomass,biomass (IGCC CCS),2020,21.6612
China,Reference,electricity,biomass,biomass (IGCC),2020,16.5544
China,Reference,electricity,biomass,biomass (conv CCS),2020,11.4479
China,Reference,electricity,biomass,biomass (conv),2020,14.0508
China,Reference,electricity,coal,coal (IGCC CCS),2020,12.7007
China,Reference,electricity,coal,coal (IGCC),2020,8.18949
China,Reference,electricity,coal,coal (conv pul CCS),2020,9.49152
China,Reference,electricity,coal,coal (conv pul),2020,7.19225
China,Reference,electricity,gas,gas (CC CCS),2020,9.20632
China,Reference,electricity,gas,gas (CC),2020,6.16369
China,Reference,electricity,gas,gas (steam/CT),2020,8.74628
China,Reference,electricity,geothermal,geothermal,2020,10.3963
China,Reference,electricity,nuclear,Gen_III,2020,9.63596
China,Reference,electricity,nuclear,Gen_II_LWR,2020,9.8191
China,Reference,electricity,refined liquids,refined liquids (CC CCS),2020,18.2987
China,Reference,electricity,refined liquids,refined liquids (CC),2020,12.678
China,Reference,electricity,refined liquids,refined liquids (steam/CT),2020,18.8011
China,Reference,electricity,solar,CSP,2020,19.2861
China,Reference,electricity,solar,CSP_storage,2020,16.0072
China,Reference,electricity,solar,PV,2020,8.75611
China,Reference,electricity,solar,PV_storage,2020,30.0585
China,Reference,electricity,wind,wind,2020,6.66725
China,Reference,electricity,wind,wind_offshore,2020,13.1053
China,Reference,electricity,wind,wind_storage,2020,19.0953
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2020,17.0052
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),2020,21.7373
Taiwan,Reference,electricity,biomass,biomass (IGCC),2020,16.293
Taiwan,Reference,electricity,biomass,biomass (conv CCS),2020,11.4479
Taiwan,Reference,electricity,biomass,biomass (conv),2020,13.9399
Taiwan,Reference,electricity,coal,coal (IGCC CCS),2020,13.1066
Taiwan,Reference,electricity,coal,coal (IGCC),2020,8.23769
Taiwan,Reference,electricity,coal,coal (conv pul CCS),2020,9.49152
Taiwan,Reference,electricity,coal,coal (conv pul),2020,7.24239
Taiwan,Reference,electricity,gas,gas (CC CCS),2020,8.38648
Taiwan,Reference,electricity,gas,gas (CC),2020,5.34435
Taiwan,Reference,electricity,gas,gas (steam/CT),2020,7.51865
Taiwan,Reference,electricity,geothermal,geothermal,2020,11.9858
Taiwan,Reference,electricity,nuclear,Gen_III,2020,9.60994
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,2020,9.79308
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),2020,18.4706
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),2020,12.6555
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),2020,18.7847
Taiwan,Reference,electricity,solar,CSP,2020,12.1687
Taiwan,Reference,electricity,solar,CSP_storage,2020,12.3648
Taiwan,Reference,electricity,solar,PV,2020,10.5028
Taiwan,Reference,electricity,solar,PV_storage,2020,36.0603
Taiwan,Reference,electricity,wind,wind,2020,7.222
Taiwan,Reference,electricity,wind,wind_offshore,2020,12.843
Taiwan,Reference,electricity,wind,wind_storage,2020,21.042
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,2025,12.3366
China,Reference,electricity,biomass,biomass (IGCC CCS),2025,20.6363
China,Reference,electricity,biomass,biomass (IGCC),2025,16.0575
China,Reference,electricity,biomass,biomass (conv CCS),2025,20.1644
China,Reference,electricity,biomass,biomass (conv),2025,13.8775
China,Reference,electricity,coal,coal (IGCC CCS),2025,12.2458
China,Reference,electricity,coal,coal (IGCC),2025,8.03751
China,Reference,electricity,coal,coal (conv pul CCS),2025,11.4247
China,Reference,electricity,coal,coal (conv pul),2025,7.1521
